"ID","product","time","user","aspect","norm_asp","polarity","norm_pol","sarst","clause","entities","op_hol"
"2.5.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","experience","experience","positive","1","STATEMENT","i can't wait to get the hang of it","mode","Author"
"2.6.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","macro mode","macro mode","negative","-1","AFFECTIVE-REACTION","The macro mode is exceptional","","Author"
"2.6.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","picture quality","pictures","neutral","0","STATEMENT","the pictures are very clear","","Author"
"2.6.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","lens","lens","positive","1","AFFECTIVE-REACTION","you can take the pictures with the lens unbelievably close the subject","","Author"
"2.7.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","battery life","battery","positive","1","AFFECTIVE-REACTION","The battery life is very good","","Author"
"2.7.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","usage","usage","neutral","0","STATEMENT","i got about 90 minutes with the lcd turned on all the time","","Author"
"2.7.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","usage","usage","positive","1","STATEMENT","and have yet needed to recharge it","","Author"
"2.8.1","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","memory card","memory card","negative","-1","STATEMENT","The camera comes with a lexar 16mb starter card","images, mode","Author"
"2.8.2","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","storage capacity","storage capacity","positive","1","AFFECTIVE-REACTION","which stores about 10 images in fine mode at the highest resolution","images, mode","Author"
"2.8.3","Nikon Coolpix 4300","2024-05-16T16:33:56.298Z","User-VMBUc","intention","intention","positive","1","AFFECTIVE-REACTION","i intend to buy a bigger card soon","images, mode","Author"
"3.1.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","other","other","positive","1","SENTIMENT","I love photography .","","Author"
"3.2.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","other","other","neutral","0","STATEMENT","I had an older camera that was simply a point and shoot camera .","","Author"
"3.3.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","nikon coolpix 4300","camera","positive","1","STATEMENT","I bought a nikon coolpix 4300 .","","Author"
"3.4.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","camera","camera","positive","1","SENTIMENT","I fell in love with this camera, it combines ease of use , with an immense amount of options and power .","camera","Author"
"3.4.2","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","use","usability","positive","1","AFFECTIVE-REACTION","I fell in love with this camera, it combines ease of use , with an immense amount of options and power .","camera","Author"
"3.5.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","features","features","positive","1","STATEMENT","You can use the scene modes , or fine tune the options , you can change the iso level , shutter speed , etc.","tune","Others"
"3.6.1","Nikon Coolpix 4300","2024-05-01T19:54:33.231Z","User-ZGVAM","camera","camera","positive","1","AFFECTIVE-REACTION","This camera is ideal for people who want more power , but don't want to spend 1000s dollars on a camera .","power, dollars, people","Author"
"4.1.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","nikon coolpix 4300","camera","neutral","0","STATEMENT","I bought coolpix 4300 two months after I had bought canon powershot s400","","Author"
"4.2.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","other","other","neutral","0","STATEMENT","Reason for two ?","","Author"
"4.3.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","other","other","neutral","0","STATEMENT","It was not easy sharing one with my teen age kid","","Author"
"4.4.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","price","price","neutral","0","STATEMENT","The two cameras are very similar in functionality and pricing","","Author"
"4.5.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","other","other","positive","1","AFFECTIVE-REACTION","I've had no problem with canon whatsoever","canon","Author"
"4.6.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","picture quality","pictures","positive","1","AFFECTIVE-REACTION","With nikon, although picture qualities are as good as any other 4 mp cameras, I've had the following headaches","","Author"
"4.7.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","transfer","transfer","negative","-1","AFFECTIVE-REACTION","Pictures won't transfer to pc directly from the camera using the included transfer cable .","","Author"
"4.8.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","card reader","card reader","negative","-1","SENTIMENT","I did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader .","days","Author"
"4.9.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","card reader","card reader","positive","1","STATEMENT","Card reader is included .","","Author"
"4.10.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","speed","speed","negative","-1","STATEMENT","The speed is noticeably slower than canon, especially so with flashes on","","Author"
"4.11.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","memory chip","memory card","negative","-1","STATEMENT","With low battery, it twice wiped out the entire pictures in the memory chip","battery","Author"
"4.12.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","memory card","memory card","positive","1","STATEMENT","I used lexar 256 mb and I still use it which means nothing is wrong with lexar","nothing, lexar","Author"
"4.13.1","Nikon Coolpix 4300","2024-05-15T08:29:08.158Z","User-6Qhu4","battery","battery","negative","-1","STATEMENT","Be very careful when the battery is low and make sure to carry extra batteries","battery","Author"
"5.1.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","camera","camera","positive","1","STATEMENT","all the good things about this camera","","Author"
"5.2.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","camera","camera","negative","-1","STATEMENT","there are certain issues might be they are to me here - all of them are minor","","Author"
"5.3.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","auto mode","auto mode","negative","-1","STATEMENT","This camera keeps on autofocussing in auto mode with a buzzing sound which can't be stopped","","Author"
"5.4.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","autofocussing","auto focus","negative","-1","STATEMENT","Would be really good if they have given an option to stop this autofocussing","","Author"
"5.5.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","date; time","date; time","negative","-1","STATEMENT","its only through their software 'nikon view' which reads the images date; time from the images meta-data","date","Others"
"5.6.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","date; time","date; time","negative","-1","STATEMENT","So if you use your card reader; copy images - you got to once again open them through their software to put the date; time","software","Others"
"5.7.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","date; time","date; time","negative","-1","STATEMENT","there isn't a direct way to add date; time - you got to say 'print images' to a different directory in which there is an option to specify the date; time","","Author"
"5.8.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","image quality","pictures","negative","-1","AFFECTIVE-REACTION","Even the slightest of the shakes totally distorts your image","image, shakes","Author"
"5.9.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","indoor image","indoor image","negative","-1","STATEMENT","Images taken indoor weren't so clear","","Author"
"5.10.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","flash","flash","negative","-1","STATEMENT","You got to have flash 'on' to get it even though your room is well lit","","Others"
"5.11.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","lens cap","lens","negative","-1","AFFECTIVE-REACTION","Lens cap is really annoying","cap","Author"
"5.12.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","memory card","memory card","negative","-1","STATEMENT","Go; get a high speed like lexar 12x or higher cf card","","Author"
"5.13.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","picture quality","pictures","neutral","0","STATEMENT","Else with simpler viking cf cards, it takes couple of seconds to write a picture with approximately 'fine' picture quality","","Author"
"5.14.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","movie clips","movie clips","negative","-1","AFFECTIVE-REACTION","The movie clips taken will always have some 'noise' in it - you can't avoid that","","Author"
"5.15.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","camera","camera","positive","1","AFFECTIVE-REACTION","overall this is a good camera with a 'really good' picture clarity; an exceptional close-up shooting capability","shooting","Author"
"5.15.2","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","picture","pictures","positive","1","AFFECTIVE-REACTION","overall this is a good camera with a 'really good' picture clarity","shooting","Author"
"5.16.1","Nikon Coolpix 4300","2024-05-03T05:10:00.231Z","User-wOijp","picture quality","pictures","positive","1","STATEMENT","I would rate this is 4.5 stars picture quality; image size defined above are specific to nikon coolpix","","Author"
"6.1.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","menu dial knob","menu","negative","-1","STATEMENT","there are problems with my menu dial knob","menu","Author"
"6.2.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","menu dial knob","menu","negative","-1","AFFECTIVE-REACTION","It became stucked which makes it almost impossible to switch between modes","modes","Author"
"6.3.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","servicing","service","negative","-1","AFFECTIVE-REACTION","I send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem","weeks","Author"
"6.4.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","service","service","negative","-1","STATEMENT","they claim that it's some kind of internal damage and refuse to cover the cost via warranty","refuse, kind","Others"
"6.5.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","service","service","negative","-1","STATEMENT","They wouldn't repair my camera unless if i pay $100 for parts and labor","camera","Others"
"6.6.1","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","camera","camera","positive","1","AFFECTIVE-REACTION","It is a good camera in terms of the function and quality","","Author"
"6.6.2","Nikon Coolpix 4300","2024-05-29T11:51:11.912Z","User-tPWQl","customer service","service","negative","-1","STATEMENT","nikon absolutely sucks when it comes to customer service","","Author"
"7.1.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","system error","system error","negative","-1","AFFECTIVE-REACTION","Got a 'system error' problem 30 days after purchase","days, system","Author"
"7.2.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","camera","camera","negative","-1","AFFECTIVE-REACTION","Made the camera totally inoperable","","Author"
"7.3.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","lens cap design","lens","negative","-1","AFFECTIVE-REACTION","the lens cap design is flawed","lens","Author"
"7.4.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","lens cap","lens","negative","-1","STATEMENT","You have to manually take the cap off in order to use it","","Author"
"7.5.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","audio on video","audio on video","negative","-1","AFFECTIVE-REACTION","Audio on video also lacking","","Author"
"7.6.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","pictures quality","pictures","positive","1","AFFECTIVE-REACTION","it takes very good pictures","","Author"
"7.6.2","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","shutter delay","shutter delay","neutral","0","STATEMENT","shutter delay isn't so bad either","","Author"
"7.7.1","Nikon Coolpix 4300","2024-05-15T16:23:56.631Z","User-dx4OR","service","service","neutral","0","STATEMENT","Still, had to send it back to nikon for repair","nikon","Author"
"8.1.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","I am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world .","","Author"
"8.2.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","camera","camera","positive","1","AFFECTIVE-REACTION","Nikon 4300 is the best camera out there for the features and price .","","Author"
"8.3.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","Here were my requirements in a digital camera :","","Author"
"8.4.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","and I wanted some really great 8x10"" photos once in a while","","Author"
"8.5.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","negative","-1","STATEMENT","I did not want a very small camera as it seems to get lost in my hands and I wasn't comfortable with that .","hands, camera","Author"
"8.6.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","I wanted a decent sized camera with a contour for my fingers to hold it steadily.","camera","Author"
"8.7.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","positive","1","STATEMENT","while giving me an option to use my photography skills by turning on the manual settings .","amateur, camera, photography","Author"
"8.8.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","because I had bought an expensive camcorder before but hadn't used it much","brand, camcorder","Author"
"8.9.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","nikon coolpix 4300","camera","neutral","0","STATEMENT","Depending on all the above requirements, I had narrowed down my search to Nikon 4300 and Canon Powershot S400 models .","","Author"
"8.10.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","settings","settings","neutral","0","STATEMENT","Nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews","size","Author"
"8.10.2","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","size","size","neutral","0","STATEMENT","Nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews","size","Author"
"8.10.3","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","price","price","neutral","0","STATEMENT","Nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews","size","Author"
"8.10.4","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","brand","brand","neutral","0","STATEMENT","Nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews","size","Author"
"8.10.5","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","software","software","neutral","0","STATEMENT","Nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews","size","Author"
"8.11.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","camera","camera","positive","1","SENTIMENT","I should say I have been very happy with my decision ever since .","decision","Author"
"8.12.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","picture","pictures","positive","1","AFFECTIVE-REACTION","The pictures are absolutely amazing - the camera captures the minutest of details .","pictures","Author"
"8.13.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","camera","camera","negative","-1","AFFECTIVE-REACTION","Pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance .","","Author"
"8.14.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","indoor setting","indoor setting","negative","-1","AFFECTIVE-REACTION","Pictures taken in an indoor setting are a little dull and rarely hazy","setting","Others"
"8.15.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","delay","delay","negative","-1","AFFECTIVE-REACTION","and I have seen people becoming a little impatient waiting for the flash to glow.","waiting, people, flash","Author"
"8.16.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","picture quality","pictures","negative","-1","AFFECTIVE-REACTION","The pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture .","moment, hands","Author"
"8.17.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","camera problems","camera problems","negative","-1","STATEMENT","All the above, I think, are problems with all the digital cameras out there and so I have no major complaints .","","Author"
"8.18.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","tripod","tripod","neutral","0","STATEMENT","Try to buy a tripod and that should solve some of those problems .","tripod","Author"
"8.19.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","256 mb","memory card","neutral","0","STATEMENT","Whichever camera you buy add about 200 dollars for an additional memory card i bought a 256 mb card","","Author"
"8.19.2","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","usb card reader","usb","neutral","0","STATEMENT","i bought a 256 mb card , usb card reader , camera bag and the warranty","","Author"
"8.19.3","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","camera bag","camera bag","negative","-1","STATEMENT","i bought a 256 mb card , usb card reader , camera bag and the warranty","","Author"
"8.19.4","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","warranty","service","negative","-1","STATEMENT","i bought a 256 mb card , usb card reader , camera bag and the warranty","","Author"
"8.20.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","pictures","pictures","positive","1","STATEMENT","get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness .","terms","Author"
"8.21.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","other","other","neutral","0","STATEMENT","Hope this review has helped you in making up your mind .","Hope","Others"
"8.22.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","photographs","photographs","positive","1","SENTIMENT","I have taken about 150 photographs so far and have absolutely loved the experience .","","Author"
"8.23.1","Nikon Coolpix 4300","2024-05-19T05:54:40.659Z","User-p0DSR","photographs","photographs","positive","1","AFFECTIVE-REACTION","I am looking forward to my Vegas trip for some great photographs now .","vegas, photographs","Author"
"9.1.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","other","other","negative","-1","STATEMENT","With our compact 35mm broken","","Author"
"9.2.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","4300","camera","positive","1","SENTIMENT","am really happy to invest the extra money for the 4300","","Author"
"9.3.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","lense","lens","positive","1","AFFECTIVE-REACTION","The lense is a lot better","","Author"
"9.3.2","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","pictures","pictures","positive","1","AFFECTIVE-REACTION","the 4mb produce fantastic pictures","","Author"
"9.4.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","auto","auto mode","neutral","0","STATEMENT","The possibilities with auto","scene","Author"
"9.4.2","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","scene mode","scene mode","neutral","0","STATEMENT","The possibilities with auto , manual , and the very helpful scene mode","scene","Author"
"9.5.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","movie mode","movie mode","positive","1","AFFECTIVE-REACTION","The movie mode is also working great","","Author"
"9.6.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","software","software","positive","1","AFFECTIVE-REACTION","the 4300 comes with excellent easy to install software","software, xp","Author"
"9.6.2","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","accessories","accessories","positive","1","STATEMENT","battery charger, usb and video cable","software, xp","Author"
"9.7.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","memory card","memory card","neutral","0","STATEMENT","A 64mb flash card camera comes with a 16mb holds 52 pictures on 'normal' resolution","card, pictures, resolution","Author"
"9.8.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","print ordering","print","positive","1","AFFECTIVE-REACTION","I experimented with online print ordering with the two major us brick and mortar retailers, and they both delivered great results","results","Author"
"9.9.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","print quality","print","positive","1","STATEMENT","Even at the 'normal' setting, a 8x10 print shows not a single sign of visible rendering or pixels","setting","Author"
"9.10.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","battery life","battery","positive","1","AFFECTIVE-REACTION","The battery life is ok","","Author"
"9.10.2","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","battery usage","battery","negative","-1","STATEMENT","but can be somewhat short when working a lot with the monitor on","","Author"
"9.11.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","battery","battery","neutral","0","STATEMENT","I therefore bought a second battery as a backup","","Author"
"9.11.2","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","charging speed","charging speed","positive","1","STATEMENT","due to the lighting fast charging with the included charger","","Author"
"9.12.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","accessory kit","accessories","positive","1","AFFECTIVE-REACTION","I highly recommend the accessory kit","kit","Author"
"9.13.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","camera bag","camera bag","positive","1","AFFECTIVE-REACTION","A nice camera bag, which holds camera plus all the cables and the charger","camera","Author"
"9.14.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","accessory kit","accessories","positive","1","STATEMENT","Furher it contains a card reader, a flash card folder for up to 8 cards, a lense cleaning rag, and an ac adapter which is very helpful when working in an 'outlet environment'","card","Author"
"9.15.1","Nikon Coolpix 4300","2024-05-10T07:01:33.512Z","User-MWGiP","camera","camera","positive","1","AFFECTIVE-REACTION","Over all a fantastic very compact camera, which made us experience photography on a totally new level","camera","Author"
"10.1.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","review","review","positive","1","STATEMENT","glowing review on this camera","camera","Author"
"10.2.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","other","other","positive","1","AFFECTIVE-REACTION","I currently own an olympus d-550 which takes wonderful outdoor pictures","pictures, olympus","Author"
"10.3.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","other","other","negative","-1","STATEMENT","indoor pictures of subjects more than a few feet away can be blurry or grainy","","Author"
"10.4.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","coolpix 4300","camera","neutral","0","STATEMENT","i tried coolpix 4300 along with two other 4mp models minolta dimage s414, and panasonic lumix","","Author"
"10.5.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","picture","pictures","negative","-1","STATEMENT","pictures produced by this camera were blurry and in a shade of orange","","Author"
"10.6.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","other","other","positive","1","STATEMENT","Pictures produced by the minolta were orange but not blurry","","Author"
"10.7.1","Nikon Coolpix 4300","2024-05-09T01:43:51.856Z","User-BEgYb","other","other","positive","1","AFFECTIVE-REACTION","Pictures produced by the panasonic were excellent","","Author"
